Name,Style,Brewery,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Kozlak,Bock - Traditional,Browar Amber,6.5,20,30,10,41,20,23,86,18,0,33,23,11,113,3.486111,3.736111,3.388889,3.569444,3.402778,36
Nero's 1st Century Double Dark Malt Ale,Bock - Traditional,Amarcord Birra Artigianale Italiana,8,20,30,13,41,20,23,97,36,0,46,26,13,81,2.833333,3.833333,3,2.916667,3.083333,6
Bokbier,Bock - Traditional,Jopen Bier BV Haarlem,6.5,20,30,23,47,10,34,68,30,2,31,16,9,106,3.855556,3.666667,3.733333,3.766667,3.722222,45
Mönchshof Bockbier,Bock - Traditional,Kulmbacher Brauerei AG,6.9,20,30,12,40,20,31,92,33,3,41,37,6,91,3.709677,3.935484,3.709677,3.83871,3.806452,31
Battlefield Bock,Bock - Traditional,Red Oak Brewery,6.5,20,30,9,74,7,44,59,5,0,4,26,8,84,3.625,3.916667,3.875,3.791667,3.916667,12
Chouffe-Bok 6666,Bock - Traditional,Brasserie d'Achouffe,6.66,20,30,15,50,18,38,103,55,0,56,38,33,101,3.759259,3.962963,3.888889,4.018519,3.962963,27
Christoffel Bokbier,Bock - Traditional,Bierbrouwerij Sint Christoffel B.V,7.8,20,30,8,55,23,25,114,29,0,54,31,6,95,3.559524,3.404762,3.47619,3.52381,3.52381,42
Aass Bock,Bock - Traditional,Aass Brewery,6.5,20,30,5,49,14,34,81,15,0,21,25,3,76,3.853659,3.987805,3.817073,4.036585,3.926829,41
Stegmaier Brewhouse Bock,Bock - Traditional,"Lion Brewery, Inc.",6.6,20,30,8,53,19,19,86,17,0,21,18,4,101,3.68,3.74,3.75,3.76,3.91,50
Bock De Joliette,Bock - Traditional,Micro-Brasserie L'Alchimiste,6.1,20,30,9,31,10,33,65,33,0,36,37,4,74,3.25,3.545455,3.431818,3.340909,3.386364,22
Dreher Bak,Bock - Traditional,Dreher Brewery,7.3,20,30,8,62,23,57,63,10,0,11,38,4,91,3.5,3.863636,3.659091,3.772727,3.636364,22
Schneider Weisse Tap 6 Unser Aventinus,Bock - Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,8.2,15,35,14,73,48,17,95,38,1,91,17,45,107,4.269352,4.178515,4.195366,4.388362,4.234334,1899
Vitus,Bock - Weizenbock,Bayerische Staatsbrauerei Weihenstephan,7.7,15,35,14,53,23,11,52,48,0,72,15,47,50,4.142541,4.146233,4.172083,4.260709,4.254062,677
Moonglow Weizenbock,Bock - Weizenbock,Victory Brewing Company,8.7,15,35,7,31,24,13,67,36,0,72,9,33,62,4.051988,3.977064,3.996177,4.067278,3.970183,654
Bavarian-Styled Doppel Weizen,Bock - Weizenbock,Lagunitas Brewing Company,8.7,15,35,4,32,10,35,52,43,0,61,46,9,68,3.887168,3.794248,3.734513,3.794248,3.785398,226
Erdinger Weissbier Pikantus,Bock - Weizenbock,Erdinger Weissbräu,7.3,15,35,16,52,27,10,103,33,0,63,8,30,86,3.783186,3.951327,3.789823,3.856195,3.860619,226
Ramstein Winter Wheat,Bock - Weizenbock,High Point Brewing Company,9.5,15,35,16,90,41,25,104,36,0,68,19,53,136,4.141393,3.985656,4.129098,4.241803,4.192623,244
Schneider Weisse Tap X Mein Nelson Sauvin,Bock - Weizenbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,7.3,15,35,23,53,23,43,102,70,0,112,70,33,77,4.05,4.25,4.15,4.05,4.116667,30
Primus Weizenbock,Bock - Weizenbock,Live Oak Brewing Company,8.3,15,35,13,68,15,17,59,24,0,65,19,46,82,4.142857,4.011905,3.988095,4.190476,3.964286,42
Der Weisse Bock,Bock - Weizenbock,Mahrs-Bräu,8.5,15,35,22,69,25,20,87,29,0,62,25,29,111,3.9,3.87619,3.828571,3.857143,3.804762,105
Plank Bavarian Heller Weizenbock,Bock - Weizenbock,Brauerei Michael Plank,7.5,15,35,23,64,37,21,88,42,0,99,43,34,118,3.892857,4.10119,3.946429,4.035714,4.02381,84
Plank Bavarian Dunkler Weizenbock,Bock - Weizenbock,Brauerei Michael Plank,7.5,15,35,28,90,44,33,123,49,0,95,24,38,178,3.925,4.08125,3.75625,3.9375,3.86875,80
La Shawinigan Handshake,Bock - Weizenbock,Le Trou Du Diable,6.5,15,35,34,46,22,53,47,84,0,113,85,49,68,4,4.25,4,4.25,4,2
Weizenbock Grande Cuvée,Bock - Weizenbock,Les Trois Mousquetaires,11,15,35,8,63,60,19,181,59,0,119,16,40,108,3.826087,3.956522,4.043478,3.826087,3.652174,23
Eisenbahn Vigorosa (Weizenbock),Bock - Weizenbock,Cervejaria Sudbrack Ltda,8,15,35,17,59,32,14,80,32,0,63,12,30,94,3.80814,3.622093,3.69186,3.784884,3.715116,86
Alpen Glow,Bock - Weizenbock,Fat Heads Brewery & Saloon,7,15,35,10,48,29,10,56,23,0,66,7,34,55,4.038462,4.192308,3.923077,4.076923,4,13
Weiss Principal Imperial Hefe,Bock - Weizenbock,Peak Organic Brewing Company,8.6,15,35,16,46,35,79,32,85,0,91,97,42,35,3.670732,4.012195,3.52439,3.341463,3.5,41
Teufel Bock,Bock - Weizenbock,Atwater Block Brewery,10.9,15,35,15,65,49,47,96,30,0,69,53,27,150,3.894737,3.973684,3.684211,3.815789,3.684211,19
Face Plant,Bock - Weizenbock,"Bayern Brewing, Inc.",7.5,15,35,10,66,33,34,73,24,0,40,35,21,121,3.461538,3.5,3.346154,3.615385,3.769231,13
Hopf Weisser Bock,Bock - Weizenbock,Weissbierbrauerei Hopf,7,15,35,15,54,22,9,62,38,0,76,9,44,78,3.840426,3.840426,3.914894,3.925532,4.042553,47
Angry Goat,Bock - Weizenbock,Rahr & Sons Brewing Company,8,15,35,6,45,20,24,60,18,0,27,14,12,57,3.916667,3.75,3.916667,4,3.916667,6
Weizenbock,Bock - Weizenbock,Pennsylvania Brewing Company,7.9,15,35,11,69,28,16,81,22,0,77,14,56,89,4.036585,4.097561,3.97561,4.04878,3.939024,41
Volks Weizenbock,Bock - Weizenbock,Appalachian Brewing Company,7.2,15,35,9,58,19,18,71,35,0,50,20,57,49,3.774194,3.725806,3.758065,3.935484,3.822581,31
Weizen Bock,Bock - Weizenbock,Scuttlebutt Brewing Company,7.9,15,35,19,58,34,22,66,49,0,61,20,30,76,3.425,3.475,3.55,3.4,3.4,20
Heineken Tarwebok,Bock - Weizenbock,Heineken Nederland B.V.,6.5,15,35,13,47,24,24,83,10,1,26,18,12,80,3.607143,3.642857,3.607143,3.785714,3.75,14
Weizenbock,Bock - Weizenbock,Olde Hickory Brewery,8,15,35,15,37,47,19,48,41,0,62,28,46,57,3.444444,3.333333,3.5,3.444444,3.611111,9
Yule Tide (2015+),Bock - Weizenbock,Heavy Seas Beer,9,15,35,2,23,24,2,40,11,0,32,5,31,43,3.771429,3.761905,3.728571,3.685714,3.609524,105
St. Blasius Weizenbock,Bock - Weizenbock,Aktien-Brauerei Kaufbeuren AG,7.2,15,35,14,41,22,11,115,79,0,90,10,28,87,3.391892,3.256757,3.472973,3.459459,3.432432,37
Summer Haze Pale Weizenbock,Bock - Weizenbock,Blue Mountain Brewery,7.8,15,35,10,15,11,24,21,31,0,40,30,11,21,3.833333,4.166667,4,4.5,4.5,3
Maximilian,Bock - Weizenbock,Urban Chestnut Brewing Company,7.5,15,35,7,15,9,5,13,6,0,14,6,11,32,4,4.5,4,3.833333,4,3
Weizenbock,Bock - Weizenbock,Mill Street Brew Pub,7.5,15,35,8,33,24,8,56,18,0,49,9,28,52,4,4,3.5,3.5,3.833333,3
Portsmouth Weizenbock,Bock - Weizenbock,Portsmouth Brewery,7,15,35,12,42,44,19,100,39,0,68,25,38,78,3.925,4.05,3.875,3.925,3.85,20
DumDuminator,Bock - Weizenbock,Les Brasseurs Du Temps,8,15,35,3,17,10,3,31,8,0,15,3,8,21,3.3,3.4,3.4,3.5,3.1,5
Braggot,Braggot,Kuhnhenn Brewing Company,12.8,20,40,12,43,86,22,263,38,1,86,37,43,180,3.852941,3.882353,3.882353,3.882353,3.705882,17
Baklava Braggot,Braggot,Jackie O's Pub & Brewery,8,20,40,16,40,20,16,123,61,2,58,8,73,97,4.033333,3.9,4.133333,4.033333,4.1,15
Slippery Slope,Braggot,The People's Pint,9.8,20,40,27,32,32,14,141,114,0,102,26,107,70,3.74359,3.628205,3.589744,3.769231,3.512821,39
Old Danish Braggot,Braggot,Dansk Mjød A/S,10.1,20,40,6,70,37,9,169,18,0,22,14,120,119,4.027778,3.75,3.805556,3.833333,3.638889,18
Portsmouth Killer B,Braggot,Portsmouth Brewery,9.8,20,40,6,45,21,22,127,29,0,46,23,18,82,4.285714,4.357143,4.428571,4.5,4.428571,7
Biere De Miele,Braggot,Rabbit's Foot Meadery,4.2,20,40,15,20,12,12,68,20,0,13,20,11,49,3.5,3.571429,3.714286,3.607143,3.821429,14
Mjød,Braggot,Valkyrie Brewing,9,20,40,22,39,37,8,180,81,1,86,15,20,70,3.815789,3.815789,3.5,3.684211,3.631579,19
Premium Oak Brackett,Braggot,"White Winter Winery, Inc.",10,20,40,8,30,32,10,95,24,3,32,21,18,57,3.961538,3.807692,3.961538,4.076923,3.576923,13
Hummingbird,Braggot,Mountain Sun Pub & Brewery,8,20,40,4,8,7,4,21,2,0,4,6,6,16,4.25,4,4.25,4,4.25,4
Braggot,Braggot,Crabtree Brewing Company,7.85,20,40,2,29,9,29,56,3,0,7,16,5,56,3.6,4.1,3.7,3.85,3.7,10
White Winter Brackett,Braggot,"White Winter Winery, Inc.",5,20,40,3,5,2,2,25,6,0,3,3,11,16,3.75,3.75,3.5,3.583333,3.083333,6
"Honey, I Can Explain",Braggot,South Street Brewery,7,20,40,0,0,0,3,7,0,0,0,3,1,4,3.25,3.5,3.75,3.25,3,2
Saku Mõdu,Braggot,Saku Brewery LTD,4,20,40,0,0,3,0,7,3,0,3,0,0,4,3,2.5,3,3,3,1
Spring Braggot,Braggot,Craftsman Brewing Co.,7.5,20,40,2,3,0,1,13,1,0,3,6,6,7,3.875,4,4,4.125,4.25,4
Sanctification,Brett Beer,Russian River Brewing Company,4.8,0,0,29,33,5,10,36,133,6,80,16,9,20,4.242762,4.165924,4.242762,4.319599,4.332962,449
Wild Devil,Brett Beer,Victory Brewing Company,6.7,0,0,31,42,15,83,43,133,0,66,104,14,27,3.943617,4.110638,3.832979,3.868085,3.771277,470
Defenestration,Brett Beer,Russian River Brewing Company,6.5,0,0,34,33,12,44,38,44,2,51,76,32,23,3.888889,4.1,3.988889,3.977778,4,45
Indian Brown Ale,Brown Ale - American,Dogfish Head Brewery,7.2,25,45,10,42,18,82,53,13,0,15,71,6,93,4.017743,4.048284,4.000582,4.173357,4.034031,1719
Palo Santo Marron,Brown Ale - American,Dogfish Head Brewery,12,25,45,13,52,29,34,65,9,1,24,14,27,88,4.158338,4.110777,4.116195,4.220951,3.928958,1661
Hazelnut Brown Nectar,Brown Ale - American,Rogue Ales,5.6,25,45,6,66,9,32,77,8,0,21,27,14,157,4.066375,3.978537,3.963037,4.149046,4.054054,1258
Moose Drool Brown Ale,Brown Ale - American,Big Sky Brewing Company,5.1,25,45,9,52,4,49,57,5,0,7,36,10,101,3.614721,3.80305,3.605438,3.70557,3.807692,754
Old Brown Dog,Brown Ale - American,Smuttynose Brewing Company,6.7,25,45,14,37,9,51,50,5,0,5,58,3,91,3.754854,3.793689,3.823422,3.95267,4.003034,824
Coffee Bender,Brown Ale - American,Surly Brewing Company,5.5,25,45,28,87,9,139,66,16,0,10,64,15,207,4.199362,4.094099,3.985646,4.181818,4.191388,627
Wilco Tango Foxtrot,Brown Ale - American,Lagunitas Brewing Company,7.85,25,45,8,72,15,92,70,33,0,30,95,3,124,3.899329,4.000839,3.873322,3.924497,3.931208,596
Brown Ale,Brown Ale - American,Brooklyn Brewery,5.6,25,45,15,70,4,43,60,6,0,2,33,1,109,3.623991,3.817762,3.574394,3.705882,3.817186,867
Ellie's Brown Ale,Brown Ale - American,Avery Brewing Company,5.5,25,45,10,48,8,40,48,3,0,5,31,9,98,3.726148,3.910777,3.80212,3.949647,3.975265,566
Bender,Brown Ale - American,Surly Brewing Company,5.5,25,45,10,75,12,62,71,6,0,8,47,11,155,4.004392,4.13104,4.099561,4.18448,4.285505,683
Sumatra Mountain Brown,Brown Ale - American,Founders Brewing Company,9,25,45,8,103,27,106,105,9,3,12,33,13,218,4,3.9,4,4.4,4.1,5
Koko Brown,Brown Ale - American,Kona Brewing Co.,5.5,25,45,8,43,7,25,43,4,0,61,23,3,80,3.604839,3.620968,3.475806,3.701613,3.548387,62
Pecan Ale,Brown Ale - American,Abita Brewing Co.,5.2,25,45,11,37,6,19,44,6,0,7,24,4,146,3.38354,3.509317,3.231366,3.330745,3.431677,322
Maple Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,4.5,25,45,7,53,5,12,99,1,0,1,11,3,130,3.416456,3.481013,3.289873,3.382278,3.418987,395
Rocky's Revenge Bourbon Brown,Brown Ale - American,Tyranena Brewing Company,6,25,45,9,59,46,18,60,0,0,5,16,19,128,3.71865,3.782958,3.680064,3.836013,3.842444,311
Brekle's Brown,Brown Ale - American,Anchor Brewing Company,6,25,45,21,49,7,61,60,29,0,42,64,0,82,3.588889,3.966667,3.694444,3.627778,3.666667,90
Bellaire Brown Ale,Brown Ale - American,Short's Brewing Company,7,25,45,11,63,10,24,72,5,0,11,22,4,118,3.732843,3.789216,3.779412,3.828431,3.904412,204
George,Brown Ale - American,Hill Farmstead Brewery,6,25,45,14,68,5,66,58,16,0,19,67,7,133,4,4.083333,4,3.958333,3.916667,12
Brown Ale,Brown Ale - American,The Duck-Rabbit Craft Brewery,5.6,25,45,15,71,11,93,47,12,1,13,97,10,99,3.744027,3.988055,3.638225,3.723549,3.762799,293
Dos Perros,Brown Ale - American,Yazoo Brewing Company,4.9,25,45,12,52,1,29,56,4,2,5,25,8,127,3.576923,3.557692,3.5,3.626923,3.811538,130
Imperial Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,9,25,45,12,60,40,60,131,16,0,25,44,4,167,3.665094,3.691824,3.718553,3.727987,3.611635,318
Peter Brown Tribute Ale,Brown Ale - American,Bear Republic Brewing Co.,6.3,25,45,11,62,14,67,97,9,0,15,49,15,137,3.920195,4.034202,3.809446,3.942997,4.006515,307
Good Humans Ale (Dry Hopped Double Brown Ale),Brown Ale - American,Short's Brewing Company,9.15,25,45,16,59,20,65,65,24,0,26,90,8,117,3.892,3.868,3.768,3.804,3.772,125
Sweet Josie Brown Ale,Brown Ale - American,Lonerider Brewing,6.1,25,45,8,57,7,29,76,6,0,9,23,3,103,3.702381,3.892857,3.571429,3.821429,3.857143,42
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,13.2,25,45,7,38,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.125,4.4375,4.1875,8
Flashback Ale,Brown Ale - American,Boulder Beer / Wilderness Pub,6.8,25,45,17,74,15,98,48,31,2,30,122,17,118,3.795367,3.994208,3.849421,3.889961,3.911197,259
Madtown Nutbrown,Brown Ale - American,Ale Asylum,5.5,25,45,9,86,3,24,61,9,0,8,31,1,121,3.617188,3.765625,3.71875,3.8125,3.78125,64
Over Ale,Brown Ale - American,Half Acre Beer Company,6,25,45,17,66,6,59,56,10,0,12,80,4,113,3.678218,3.940594,3.816832,3.861386,3.975248,101
Leffe Brune / Brown,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.5,15,25,11,57,21,26,98,18,0,41,24,31,125,3.711429,3.971429,3.777143,3.88,3.828571,350
Noire De Chambly / Chambly Noire,Brown Ale - Belgian Dark,Unibroue,6.2,15,25,15,45,25,18,89,61,0,76,22,66,58,3.656786,3.872075,3.583463,3.665367,3.74025,641
Belgian Freeze Belgian Style Winter Ale,Brown Ale - Belgian Dark,River Horse Brewing Co.,8,15,25,7,29,31,18,82,36,1,52,20,16,38,3.603896,3.685065,3.422078,3.522727,3.516234,154
Cold Front,Brown Ale - Belgian Dark,Ithaca Beer Company,7.2,15,25,16,44,25,24,82,43,0,55,28,31,67,3.774194,3.915323,3.645161,3.673387,3.673387,124
Grottenbier,Brown Ale - Belgian Dark,Brouwerij St. Bernardus NV,6.5,15,25,36,58,23,20,75,66,0,50,25,64,63,3.82767,4.041262,3.745146,3.808252,3.813107,206
Rejection,Brown Ale - Belgian Dark,Russian River Brewing Company,6.1,15,25,7,85,8,38,91,35,0,40,35,25,97,3.836735,4.05102,3.836735,3.887755,4.010204,49
La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),Brown Ale - Belgian Dark,Brasserie Artisanale De Rullés SPRL,7.3,15,25,23,60,27,31,121,54,0,73,33,52,63,3.851064,3.968085,3.87234,3.957447,4.085106,47
Werewolf,Brown Ale - Belgian Dark,Rinkuškiai Alaus Darykloje,8.2,15,25,7,35,45,18,87,32,0,40,16,4,76,2.951923,3.278846,2.855769,2.903846,2.807692,52
Tempelier,Brown Ale - Belgian Dark,Brouwerij Corsendonk,6,15,25,42,50,13,28,89,57,2,60,41,19,68,3.833333,3.777778,3.777778,3.722222,4,9
Bink Bruin,Brown Ale - Belgian Dark,Brouwerij Kerkom,5.5,15,25,12,65,16,33,116,34,0,57,36,12,80,3.587302,3.65873,3.5,3.555556,3.650794,63
Biscotti,Brown Ale - Belgian Dark,Lift Bridge Brewery,7,15,25,14,31,24,12,53,30,0,51,15,80,76,3.611111,3.666667,3.5,3.166667,3.222222,9
Fullsuit Belgian-Style Brown Ale,Brown Ale - Belgian Dark,Karl Strauss Brewing Company,6.3,15,25,19,50,21,20,62,30,0,38,21,27,103,3.557692,3.75,3.634615,3.576923,3.711538,26
D’Tango Unchained,Brown Ale - Belgian Dark,Weyerbacher Brewing Co.,9.6,15,25,32,52,21,2,81,147,0,117,16,33,47,3.636364,3.590909,3.454545,3.363636,3.318182,11
Winter Koninck,Brown Ale - Belgian Dark,Brouwerij De Koninck NV,6.5,15,25,5,45,24,15,100,31,0,40,15,43,51,3.382353,3.647059,3.463235,3.389706,3.477941,68
Tongerlo 6 Dubbel Bruin,Brown Ale - Belgian Dark,Brouwerij Haacht NV,6.5,15,25,9,35,5,18,82,25,0,46,10,5,52,3.26087,3.826087,3.326087,3.347826,3.326087,23
Bière De Noël,Brown Ale - Belgian Dark,Brasserie Thiriez,5.8,15,25,19,55,12,17,59,62,1,54,27,63,81,3.707317,3.792683,3.52439,3.573171,3.573171,41
Abbey Ale,Brown Ale - Belgian Dark,Cathedral Square Brewery,6.5,15,25,11,46,18,25,60,25,1,43,31,22,92,3.5,3.694444,3.416667,3.361111,3.333333,18
Leffe De Noël,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.6,15,25,6,29,23,18,66,28,0,29,14,45,52,3.59375,3.9375,3.125,3.15625,3.09375,16
Proletary Ale,Brown Ale - Belgian Dark,The Brewer's Art,5,15,25,15,66,14,44,52,4,0,9,31,11,92,3.73913,4.086957,3.847826,3.956522,3.978261,23
Black Jack (Bourbon Barrel Aged),Brown Ale - Belgian Dark,North by Northwest Restaurant & Brewery,0,15,25,6,37,46,6,49,11,0,20,11,26,77,3.966667,3.866667,3.9,4,4,15
La Rullés Brune (Bière De Gaume),Brown Ale - Belgian Dark,Brasserie Artisanale De Rullés SPRL,6.5,15,25,12,55,12,17,100,29,0,43,29,17,94,3.5,3.8,3.5,3.55,3.55,10
La Petite Mort,Brown Ale - Belgian Dark,Black Raven Brewing Co.,8.7,15,25,3,12,5,4,19,8,0,9,3,7,12,3.9,4,4,4.2,4.1,5
Leffe Rossa,Brown Ale - Belgian Dark,Abbaye de Leffe S.A.,6.6,15,25,12,26,12,11,49,18,0,18,13,24,48,3.666667,3.666667,3.333333,3.333333,3.5,3
North By Northwest Okanogan Black Ale,Brown Ale - Belgian Dark,North by Northwest Restaurant & Brewery,0,15,25,3,22,3,14,18,4,0,4,12,7,46,3.388889,3.833333,3.388889,3.666667,3.777778,9
Valeir Donker,Brown Ale - Belgian Dark,Brouwerij Contreras,6.5,15,25,12,54,6,19,94,29,0,58,16,10,48,4,4.272727,3.863636,3.863636,3.863636,11
Blind Ambition,Brown Ale - Belgian Dark,Ladyface Ale Companie,6.4,15,25,2,7,6,6,16,7,1,7,7,3,18,3.666667,4,4,3.833333,4,3
Nut Brown AleSamuel Smith Old Brewery (Tadcaster),Brown Ale - English,Samuel Smith Old Brewery (Tadcaster),5,15,25,11,55,5,25,77,18,0,40,42,2,136,3.92437,4.124905,3.995034,4.097403,4.152788,1309
Maduro Brown Ale,Brown Ale - English,Cigar City Brewing,5.5,15,25,12,87,5,54,73,7,0,16,27,13,157,3.885227,3.922727,3.915909,4.056818,4.05,440
Turbodog,Brown Ale - English,Abita Brewing Co.,5.6,15,25,10,53,5,49,75,8,0,20,34,11,118,3.515964,3.836374,3.513113,3.645382,3.706956,877
Southern Pecan,Brown Ale - English,Lazy Magnolia Brewing Company,4.5,15,25,10,42,6,24,69,9,0,15,33,6,149,3.655128,3.671795,3.624359,3.832051,3.961538,390
Fat Squirrel Ale,Brown Ale - English,New Glarus Brewing Company,5.8,15,25,12,53,12,44,77,19,1,24,57,9,148,3.690372,3.742888,3.786652,3.905908,3.991247,457
Cubano-Style Espresso Brown Ale,Brown Ale - English,Cigar City Brewing,5.5,15,25,18,87,6,76,71,8,0,2,21,19,186,4.162234,3.906915,3.827128,4.071809,4.071809,188
Nut Brown Ale,Brown Ale - English,AleSmith Brewing Company,5,15,25,23,74,12,33,52,11,2,7,33,4,131,3.863636,3.993506,3.928571,4.097403,4.149351,77
Downtown Brown,Brown Ale - English,Lost Coast Brewery and Cafe,5,15,25,4,36,2,15,48,7,0,11,13,1,78,3.57265,3.69943,3.552707,3.685185,3.801994,351
